year,month,ndvi
2020,1,0.6315322846599554
2020,2,0.7729259075356185
2020,3,0.6634553775061995
2020,4,0.400994034961903
2020,5,0.30675592493271175
2020,6,0.2796682048821093
2020,7,0.2661986312834872
2020,8,0.23845035875770623
2020,9,0.22922828867820283
2020,10,0.22265115171723138
2020,11,0.22773444358179204
2020,12,0.25542446160789045
2021,1,0.5069100333632662
2021,2,0.7615787204357471
2021,3,0.7513308218027772
2021,4,0.4993477088174893
2021,5,0.34204197995813673
2021,6,0.30128945777520594
2021,7,0.2842874111207528
2021,8,0.2574839199207453
2021,9,0.253763325811021
2021,10,0.25834901224459855
2021,11,0.2688703320975319
2021,12,0.33322398495913136
2022,1,0.4138234049465675
2022,2,0.745548341524845
2022,3,0.6948908022734921
2022,4,0.4434315605396191
2022,5,0.3466263660650544
2022,6,0.275531553869791
2022,7,0.24734046752609598
2022,8,0.23141038090242982
2022,9,0.22828225673329922
2022,10,0.22514189185918043
2022,11,0.22827032199226416
2022,12,0.24233822776081163
2023,1,0.3907788585164485
2023,2,0.7182890776307594
2023,3,0.6217235643769639
2023,4,0.47570804623354906
2023,5,0.3733451844940307
2023,6,0.3388116372118529
2023,7,0.2695521970464312
2023,8,0.2756441795682508
2023,9,0.25605801046505006
2023,10,0.2380185704189592
2023,11,0.22354075455691488
2023,12,0.2827949423662258
2024,1,0.5262125268751501
2024,2,0.5943709666550241
2024,3,0.7014510466199122
2024,4,0.4432176722952509
2024,5,0.37100912939393715
2024,6,0.31326054889765437
2024,7,0.2955896046064155
2024,8,0.27728978349826083
2024,9,0.2658159147653193
2024,10,0.29110462082100497
2024,11,0.3062860521931914
2024,12,0.3560964289283323
2025,1,0.5916960808140422
2025,2,0.7306396807242568
2025,3,0.7258296901003174
2025,4,0.5685160437901268
2025,5,0.37737565187927957
