year,month,ndvi
2020,1,0.49930685265661784
2020,2,0.4821326893021672
2020,3,0.47936637777121155
2020,4,0.45075382094823147
2020,5,0.4141405748754082
2020,6,0.2804530614185315
2020,7,0.2457362734282793
2020,8,0.21183215871755826
2020,9,0.22675767155859916
2020,10,0.2830240071376172
2020,11,0.3847073122058644
2020,12,0.46846259571546556
2021,1,0.46684699098819055
2021,2,0.49556509857000164
2021,3,0.4808395600898202
2021,4,0.412282688930154
2021,5,0.3544562989369848
2021,6,0.27339521035255737
2021,7,0.24532786247488825
2021,8,0.20745715873447212
2021,9,0.21930255750326408
2021,10,0.2900984984463885
2021,11,0.3534546873727212
2021,12,0.4343279199194353
2022,1,0.5369704494091411
2022,2,0.516640923656258
2022,3,0.48838544399628886
2022,4,0.4650186363535741
2022,5,0.40472594329095535
2022,6,0.3261269294264445
2022,7,0.2647685951726376
2022,8,0.25476641093836766
2022,9,0.26202115863838704
2022,10,0.28653606763550604
2022,11,0.4263369177569359
2022,12,0.4623541779067307
2023,1,0.5038737064811991
2023,2,0.494362783749382
2023,3,0.4820760768890673
2023,4,0.46450929254528356
2023,5,0.40903805758828576
2023,6,0.3475555569627795
2023,7,0.28457776689375425
2023,8,0.2297911398974046
2023,9,0.22502500209685256
2023,10,0.2918942287092094
2023,11,0.3578288234869721
2023,12,0.37339836900498813
2024,1,0.48711403747169596
2024,2,0.49172592481853516
2024,3,0.44352020938234643
2024,4,0.442451722305951
2024,5,0.38753933876584096
2024,6,0.2900152675165318
2024,7,0.24235251479333075
2024,8,0.21196114649825806
2024,9,0.21293362930238974
2024,10,0.23149736599247694
2024,11,0.27509593074355343
2024,12,0.32135429338862465
2025,1,0.5227058114554444
2025,2,0.4824447367029195
2025,3,0.5156202662686419
2025,4,0.5194310912085456
2025,5,0.43963371974466064
